LocationID,zscore
123,61463.69023745239 / ((sqrt(-146127517.3529412 - 233513791183.47754)) * sqrt(0.1283330081915346 / 16))
124,101452.51987153804 / ((sqrt(262693972.86842105 - 464857519758.05054)) * sqrt(0.588762632707529 / 37))
125,84773.55106266617 / ((sqrt(28437555.666666668 - 556976128402.7778)) * sqrt(0.017354327183060292 / 5))
126,-28367.696589356492 / ((sqrt(203457065.25 - 526630693095.5625)) * sqrt(0.001179043757112544 / 3))
127,-14833.502602898283 / ((sqrt(-207623860.16666666 - 644057165172.9661)) * sqrt(0.11957620070554342 / 17))
128,-10854.308518819453 / ((sqrt(193153370.7647059 - 483411742676.26636)) * sqrt(0.09157466942994352 / 16))
129,2325.887897990353 / ((sqrt(-455332842.5 - 873019577476.6943)) * sqrt(0.008666442232815902 / 5))
130,-30237.408162325446 / ((sqrt(615357856.8888888 - 515169847511.11115)) * sqrt(0.013383638313896717 / 8))
131,8987.660551627167 / ((sqrt(744577.2121212122 - 456362316231.64014)) * sqrt(0.4866304975718734 / 32))
132,36331.59816762083 / ((sqrt(144324681 - 344629705379.38055)) * sqrt(0.7498156008257562 / 33))
133,-25854.0428339793 / ((sqrt(-594513229.7777778 - 485852989440.19745)) * sqrt(0.013572409008031472 / 8))
134,-2570.5172536170576 / ((sqrt(259974242.7142857 - 605869753358.9847)) * sqrt(0.4837467064037715 / 27))
135,-37370.89229347248 / ((sqrt(357108643.2307692 - 268252441079.3136)) * sqrt(0.07363956837405156 / 12))
136,99316.48198771034 / ((sqrt(5889544.142857143 - 631670820347.7603)) * sqrt(0.331792677723004 / 27))
137,-132111.38939005986 / ((sqrt(-214376734.2631579 - 393747465049)) * sqrt(0.20376171390491638 / 18))
138,17200.426041019906 / ((sqrt(135319961.7142857 - 311053191887.75507)) * sqrt(0.01234519784011709 / 6))
139,-22185.98690983138 / ((sqrt(-357743312.5 - 384123839617.5625)) * sqrt(0.034872312649266574 / 7))
140,92764.75387225207 / ((sqrt(319740052.8888889 - 653892899283.7532)) * sqrt(0.44795365959700995 / 26))
141,8384.348039695236 / ((sqrt(10989155.777777778 - 347771250988.4445)) * sqrt(0.029609464495120835 / 8))
142,-51127.05529423477 / ((sqrt(301850677.04545456 - 544775439020.002)) * sqrt(0.1788979219865905 / 21))
143,-27101.20421510504 / ((sqrt(50076959.571428575 - 1264437600061.7349)) * sqrt(0.033512891187429256 / 6))
144,3500.4719430083933 / ((sqrt(156686850.5 - 201225810724)) * sqrt(0.0025838132127448815 / 3))
145,-39539.20379669173 / ((sqrt(206178136.84615386 - 155708977876.97635)) * sqrt(0.07472192167445324 / 12))
146,-11458.236377564492 / ((sqrt(-1428551.3125 - 415469115189.8789)) * sqrt(0.11350980289706925 / 15))
147,-59801.2614409721 / ((sqrt(-88793648.56666666 - 545648093154.6678)) * sqrt(0.371745903912744 / 29))
148,45717.14599308753 / ((sqrt(-926104263.3333334 - 1460227337601.778)) * sqrt(0.00884078176393531 / 2))
149,-27574.506326217146 / ((sqrt(139953716 - 851545075264)) * sqrt(0.015287727192130535 / 8))
150,5685.291362485732 / ((sqrt(-159260143.5 - 476110350056.25)) * sqrt(0.0331536399082083 / 7))
151,36867.24875568319 / ((sqrt(168193992.66666666 - 266104661511.11108)) * sqrt(0.016023045735050645 / 5))
152,-34045.07459507487 / ((sqrt(55150319.25 - 380220841020.25)) * sqrt(0.027310491878927423 / 7))
153,-25514.868757266144 / ((sqrt(-5007687.090909091 - 353949709457.9835)) * sqrt(0.07928877013395258 / 10))
154,18616.544569768157 / ((sqrt(298112217 - 177815540451.24)) * sqrt(0.04532306284818871 / 9))
155,12780.263791490463 / ((sqrt(-182177201.1111111 - 166212313873.19754)) * sqrt(0.14015907129457728 / 17))
156,14019.742846434456 / ((sqrt(91396850 - 840128062225)) * sqrt(0.0012922562887505082 / 1))
157,11880.919527315826 / ((sqrt(245058001.1818182 - 334840136086.6199)) * sqrt(0.0334349281596063 / 10))
158,-110284.26723462134 / ((sqrt(80636588.22222222 - 627415193109.6421)) * sqrt(0.151747560653261 / 17))
159,92652.81586898374 / ((sqrt(169045148.03703704 - 708720464621.4335)) * sqrt(0.40205098701772646 / 26))
160,119313.89767886256 / ((sqrt(187009268.0277778 - 520323661260.96375)) * sqrt(0.5488519842653599 / 35))
161,7399.444896760106 / ((sqrt(270841251.4 - 586159590832.36)) * sqrt(0.005650582648030131 / 4))
162,-13130.368905622861 / ((sqrt(-167891833 - 1010379193046.44)) * sqrt(0.01832480661283474 / 4))
163,-281.4172257760074 / ((sqrt(-383337719 - 21973615225)) * sqrt(6.258709405843402E-05 / 1))
164,11349.57802318786 / ((sqrt(-844567290 - 160958765344.44446)) * sqrt(0.0010035704479070678 / 2))
165,30326.225426121557 / ((sqrt(201445377.5 - 1606942860756.25)) * sqrt(0.003445657442476824 / 3))
166,14761.798706090718 / ((sqrt(845104226.6363636 - 232890037082.85123)) * sqrt(0.026990443644125228 / 10))
167,-56289.75485050387 / ((sqrt(259145015.69230768 - 172074738942.6982)) * sqrt(0.08339274234660787 / 12))
168,-15419.807296416722 / ((sqrt(20321567.76470588 - 454289480100)) * sqrt(0.09462282686387646 / 16))
169,-22136.35341237727 / ((sqrt(672245341.3333334 - 941194903104)) * sqrt(0.0006845659099688553 / 2))
170,4287.321791194612 / ((sqrt(339585207.6875 - 274870632496.1289)) * sqrt(0.11391834035650172 / 15))
171,0 / ((sqrt(-1131747772 - 97652500036)) * sqrt(0 / 0))
172,-31417.874688564392 / ((sqrt(-33138130.846153848 - 329328277792.4794)) * sqrt(0.13364648033445714 / 12))
173,66454.41427761351 / ((sqrt(-52690043.54545455 - 519851356233.3966)) * sqrt(0.06455820169900861 / 10))
174,8877.026508824201 / ((sqrt(182079800.4 - 380551298054.56006)) * sqrt(0.05094574309203764 / 9))
175,-5589.810146372474 / ((sqrt(279224839.90909094 - 178790667292.57022)) * sqrt(0.10921273968132211 / 10))
176,121553.53503516177 / ((sqrt(106527137.03030303 - 500988561484.2976)) * sqrt(0.3229117786958122 / 32))
177,-19899.795172232116 / ((sqrt(299797233.875 - 209620327109.76562)) * sqrt(0.0252985750512974 / 7))
178,58242.16212094686 / ((sqrt(-133431201 - 204756319615.39053)) * sqrt(0.06633161957185263 / 12))
179,-8786.062554948498 / ((sqrt(114065107.3030303 - 502387173191.8466)) * sqrt(0.3652269613985779 / 32))
180,4313.895677029446 / ((sqrt(315592774.6923077 - 265068700726.2071)) * sqrt(0.1273087157189337 / 12))
181,-23057.40665875573 / ((sqrt(66184998.08695652 - 348822431828.87714)) * sqrt(0.16205407407192673 / 22))
182,-12051.031058101711 / ((sqrt(-572423731.5 - 2112079436700.25)) * sqrt(0.0013466149665909595 / 1))
183,31486.03525923565 / ((sqrt(549056923.5 - 589053180004)) * sqrt(0.007471201133671293 / 3))
184,27203.769737946393 / ((sqrt(-66875600.76923077 - 571208757009.4438)) * sqrt(0.07491144550070061 / 12))
185,23072.12061926222 / ((sqrt(74236092.27272727 - 218155488885.03305)) * sqrt(0.028390293276368606 / 10))
186,NaN / ((sqrt(NaN - NaN)) * sqrt(0 / -1))
187,-3264.0775634505553 / ((sqrt(499239137.1 - 312150047875.21)) * sqrt(0.036119051207014696 / 9))
